"","names","HR","LCL","UCL"
"SexM","SexM",1.05657363958569,0.859391480708326,1.29899804795275
"simd2020_sc_quintile2","simd2020_sc_quintile2",0.821696256795554,0.605606359967296,1.11489043554346
"simd2020_sc_quintile3","simd2020_sc_quintile3",0.784057346138605,0.570562341417073,1.07743865553255
"simd2020_sc_quintile4","simd2020_sc_quintile4",0.829667972647421,0.606420008301735,1.13510262757422
"simd2020_sc_quintile5","simd2020_sc_quintile5",0.786163465419685,0.567142453330564,1.08976676094542
"n_risk_gps1","n_risk_gps1",1.96786743804834,1.53433683745308,2.52389316296356
"n_risk_gps2","n_risk_gps2",3.39436879933495,2.48015841665089,4.6455659721354
"n_risk_gps3","n_risk_gps3",5.20403856138845,3.40375860973535,7.95650351671785
"n_risk_gps4","n_risk_gps4",6.94918309108958,3.93498109156786,12.2722687885252
"n_risk_gps5+","n_risk_gps5+",5.18521298900651,2.04619069782741,13.1397497652145
"variantBA.2","variantBA.2",0.536491134757077,0.226687106142554,1.26969170223531
"variantdelta","variantdelta",2.41307220305373,1.40438814016833,4.14623086780885
"variantother","variantother",6.47817506734693e-11,0,Inf
"vsv1_0:27","vsv1_0:27",0.538231054130331,0.0749142013657862,3.86699267093237
"vsv1_28+","vsv1_28+",0.643870442811679,0.351954930650721,1.1779040752747
"vsv2_0:27","vsv2_0:27",0.643856980514001,0.0896269490303933,4.62530316876042
"vsv2_28+","vsv2_28+",0.370967362537753,0.283166675002797,0.485992160153935
"vsv3_0:27","vsv3_0:27",0.19651318767815,0.123545049675051,0.312577744175096
"vsv3_28+","vsv3_28+",0.380661571822572,0.265255738088979,0.546277465310943
