"","names","HR","LCL","UCL"
"SexM","SexM",1.05938897517599,0.861568705384201,1.30262971915161
"simd2020_sc_quintile2","simd2020_sc_quintile2",0.818031009719612,0.602822290354807,1.1100696566297
"simd2020_sc_quintile3","simd2020_sc_quintile3",0.777390312322099,0.56544721961009,1.06877472685952
"simd2020_sc_quintile4","simd2020_sc_quintile4",0.835935097521401,0.610854413536268,1.14395095096849
"simd2020_sc_quintile5","simd2020_sc_quintile5",0.794341592667827,0.572716854029368,1.10172864898735
"n_risk_gps1","n_risk_gps1",1.98006879353386,1.54351019906365,2.54010140620065
"n_risk_gps2","n_risk_gps2",3.4360423259091,2.50985327917137,4.70401475792112
"n_risk_gps3","n_risk_gps3",5.13854867150527,3.35775055041983,7.86380109330251
"n_risk_gps4","n_risk_gps4",6.9722938222869,3.94502297365102,12.3225850569154
"n_risk_gps5+","n_risk_gps5+",5.52174170869813,2.18079621445419,13.9809631434121
"variantBA.2","variantBA.2",0.784745063058923,0.101397946428594,6.07334601622355
"variantdelta","variantdelta",5.85678017521855,2.73472338508799,12.5430872489246
"variantother","variantother",NA,NA,NA
"variantB.1.1.529:vsv1_0:2","variantB.1.1.529:vsv1_0:2",NA,NA,NA
"variantBA.2:vsv1_0:27","variantBA.2:vsv1_0:27",NA,NA,NA
"variantdelta:vsv1_0:27","variantdelta:vsv1_0:27",0.625920135523177,0.0868685517106821,4.50998673672115
"variantother:vsv1_0:27","variantother:vsv1_0:27",NA,NA,NA
"variantB.1.1.529:vsv1_28+","variantB.1.1.529:vsv1_28+",2.77137096674444,1.15981687950312,6.6221635251631
"variantBA.2:vsv1_28+","variantBA.2:vsv1_28+",NA,NA,NA
"variantdelta:vsv1_28+","variantdelta:vsv1_28+",0.261751001425142,0.0956460048318978,0.716324606213092
"variantother:vsv1_28+","variantother:vsv1_28+",NA,NA,NA
"variantB.1.1.529:vsv2_0:2","variantB.1.1.529:vsv2_0:2",7.21131575700399e-12,0,Inf
"variantBA.2:vsv2_0:27","variantBA.2:vsv2_0:27",75.1898698210647,4.67105704776339,1210.32915374384
"variantdelta:vsv2_0:27","variantdelta:vsv2_0:27",NA,NA,NA
"variantother:vsv2_0:27","variantother:vsv2_0:27",NA,NA,NA
"variantB.1.1.529:vsv2_28+","variantB.1.1.529:vsv2_28+",0.974005796607465,0.509330879843044,1.86261491177855
"variantBA.2:vsv2_28+","variantBA.2:vsv2_28+",0.637540934582023,0.039862948330048,10.1963969123011
"variantdelta:vsv2_28+","variantdelta:vsv2_28+",0.287274874213303,0.213914199376844,0.385794181006585
"variantother:vsv2_28+","variantother:vsv2_28+",NA,NA,NA
"variantB.1.1.529:vsv3_0:2","variantB.1.1.529:vsv3_0:2",0.639829117745907,0.272740446846865,1.50099226076784
"variantBA.2:vsv3_0:27","variantBA.2:vsv3_0:27",9.08726060197194e-12,0,Inf
"variantdelta:vsv3_0:27","variantdelta:vsv3_0:27",0.128368502669601,0.0724576346140068,0.227422169732959
"variantother:vsv3_0:27","variantother:vsv3_0:27",NA,NA,NA
"variantB.1.1.529:vsv3_28+","variantB.1.1.529:vsv3_28+",0.657080789655035,0.362779179762006,1.19013214710097
"variantBA.2:vsv3_28+","variantBA.2:vsv3_28+",0.351866299262613,0.0364877353897019,3.39319202012494
"variantdelta:vsv3_28+","variantdelta:vsv3_28+",0.376896388605433,0.220902330893921,0.643048387805522
"variantother:vsv3_28+","variantother:vsv3_28+",NA,NA,NA
