"","variant_vs","pyears","n","event"
"1","B.1.1.529_uv",231.436550308008,4100,14
"2","B.1.1.529_v1_0:27",5.5441478439425,93,0
"3","B.1.1.529_v1_28+",55.8795345653662,1011,8
"4","B.1.1.529_v2_0:27",6.08624229979466,108,0
"5","B.1.1.529_v2_28+",600.525941136208,9516,29
"6","B.1.1.529_v3_0:27",267.90417522245,3863,9
"7","B.1.1.529_v3_28+",699.741273100616,15163,61
"8","BA.2_uv",16.0711841204654,462,1
"9","BA.2_v1_0:27",0.353182751540041,10,0
"10","BA.2_v1_28+",2.75427789185489,78,0
"11","BA.2_v2_0:27",0.350718685831622,11,1
"12","BA.2_v2_28+",26.4750171115674,752,1
"13","BA.2_v3_0:27",4.93908281998631,129,0
"14","BA.2_v3_28+",75.1296372347707,2240,3
"15","delta_uv",208.438056125941,3214,78
"16","delta_v1_0:27",4.74743326488706,68,1
"17","delta_v1_28+",48.2710472279261,718,4
"18","delta_v2_0:27",4.3668720054757,62,0
"19","delta_v2_28+",880.865708418891,12462,121
"20","delta_v3_0:27",121.943874058864,1830,15
"21","delta_v3_28+",49.4841889117043,910,20
"22","other_uv",0.635181382614648,15,0
"23","other_v1_28+",0.238193018480493,4,0
"24","other_v2_0:27",0.0793976728268309,1,0
"25","other_v2_28+",2.46132785763176,42,0
"26","other_v3_0:27",0.635181382614648,12,0
"27","other_v3_28+",0.506502395619439,23,0
