"Characteristic","Levels","B.1.1.529","BA.2","delta","other"
"Total N (%)","","37610 (60.7)","4079 (6.6)","20167 (32.5)","115 (0.2)"
"Sex","F","21252 (56.5)","2213 (54.3)","10802 (53.6)","66 (57.4)"
"","M","16358 (43.5)","1866 (45.7)","9365 (46.4)","49 (42.6)"
"ageYear","Mean (SD)","41.9 (17.3)","38.7 (14.7)","43.9 (15.0)","41.7 (18.1)"
"age_grp","18-64","33425 (88.9)","3868 (94.8)","18422 (91.3)","101 (87.8)"
"","65-79","2695 (7.2)","179 (4.4)","1267 (6.3)","8 (7.0)"
"","80+","1490 (4.0)","32 (0.8)","478 (2.4)","6 (5.2)"
"vs","uv","4776 (12.7)","541 (13.3)","3389 (16.8)","19 (16.5)"
"","v1_0:27","103 (0.3)","11 (0.3)","71 (0.4)","0 (0.0)"
"","v1_28+","1166 (3.1)","98 (2.4)","752 (3.7)","5 (4.3)"
"","v2_0:27","122 (0.3)","14 (0.3)","62 (0.3)","1 (0.9)"
"","v2_28+","10638 (28.3)","855 (21.0)","13018 (64.6)","46 (40.0)"
"","v3_0:27","4202 (11.2)","141 (3.5)","1896 (9.4)","16 (13.9)"
"","v3_28+","16603 (44.1)","2419 (59.3)","979 (4.9)","28 (24.3)"
"vs_type","AZ_v1_28+","282 (0.7)","18 (0.4)","232 (1.2)",""
"","AZ_v2_0:27","25 (0.1)","2 (0.0)","20 (0.1)",""
"","AZ_v2_28+","3350 (8.9)","249 (6.1)","8106 (40.2)","24 (20.9)"
"","AZ_v3_0:27","7 (0.0)","2 (0.0)","10 (0.0)",""
"","AZ_v3_28+","68 (0.2)","9 (0.2)","9 (0.0)",""
"","Mo_v1_0:27","34 (0.1)","6 (0.1)","13 (0.1)",""
"","Mo_v1_28+","169 (0.4)","17 (0.4)","82 (0.4)",""
"","Mo_v2_0:27","20 (0.1)","3 (0.1)","8 (0.0)","1 (0.9)"
"","Mo_v2_28+","1172 (3.1)","121 (3.0)","384 (1.9)","3 (2.6)"
"","Mo_v3_0:27","1355 (3.6)","58 (1.4)","392 (1.9)","4 (3.5)"
"","Mo_v3_28+","3533 (9.4)","849 (20.8)","95 (0.5)","2 (1.7)"
"","PB_v1_0:27","69 (0.2)","5 (0.1)","56 (0.3)",""
"","PB_v1_28+","715 (1.9)","63 (1.5)","438 (2.2)","5 (4.3)"
"","PB_v2_0:27","77 (0.2)","9 (0.2)","34 (0.2)",""
"","PB_v2_28+","6116 (16.3)","485 (11.9)","4528 (22.5)","19 (16.5)"
"","PB_v3_0:27","2840 (7.6)","81 (2.0)","1494 (7.4)","12 (10.4)"
"","PB_v3_28+","13002 (34.6)","1561 (38.3)","875 (4.3)","26 (22.6)"
"","uv","4776 (12.7)","541 (13.3)","3389 (16.8)","19 (16.5)"
"","AZ_v1_0:27","","","2 (0.0)",""
"in_hosp_at_test","0","36901 (98.1)","4068 (99.7)","19837 (98.4)","114 (99.1)"
"","1","709 (1.9)","11 (0.3)","330 (1.6)","1 (0.9)"
"lab","lh","29189 (86.5)","3595 (97.7)","16847 (87.7)","59 (61.5)"
"","nhs","4558 (13.5)","85 (2.3)","2352 (12.3)","37 (38.5)"
"hosp_covid","0","35813 (95.2)","4037 (99.0)","18864 (93.5)","104 (90.4)"
"","1","1797 (4.8)","42 (1.0)","1303 (6.5)","11 (9.6)"
"hosp_covid_emerg","0","36012 (95.8)","4046 (99.2)","18957 (94.0)","105 (91.3)"
"","1","1598 (4.2)","33 (0.8)","1210 (6.0)","10 (8.7)"
"death_covid","0","37364 (99.3)","4079 (100.0)","19885 (98.6)","113 (98.3)"
"","1","246 (0.7)","0 (0.0)","282 (1.4)","2 (1.7)"
"death","0","37348 (99.3)","4079 (100.0)","19836 (98.4)","113 (98.3)"
"","1","262 (0.7)","0 (0.0)","331 (1.6)","2 (1.7)"
