"","names","HR","LCL","UCL"
"SexM","SexM",0.975497787051905,0.758761111773495,1.25414431206015
"simd2020_sc_quintile2","simd2020_sc_quintile2",0.929910139695122,0.65718607125059,1.31581131392858
"simd2020_sc_quintile3","simd2020_sc_quintile3",0.78697674549775,0.534760133406662,1.15814990547034
"simd2020_sc_quintile4","simd2020_sc_quintile4",0.659997050372804,0.439311165914567,0.991543444141622
"simd2020_sc_quintile5","simd2020_sc_quintile5",0.771112979897854,0.5212897724272,1.14066160361891
"n_risk_gps1","n_risk_gps1",2.14296734210392,1.5652771388425,2.93386322164004
"n_risk_gps2","n_risk_gps2",3.45877210262156,2.33310323693169,5.12755040947357
"n_risk_gps3","n_risk_gps3",8.57750702009353,5.43184768206228,13.5448618934433
"n_risk_gps4","n_risk_gps4",8.54279481843364,4.24628996501844,17.1866132343931
"n_risk_gps5+","n_risk_gps5+",16.1045760430531,8.00162383658075,32.4130919952505
"variantBA.2","variantBA.2",0.862992379095248,0.613532270862329,1.21388210815661
"variantdelta","variantdelta",NA,NA,NA
"variantother","variantother",NA,NA,NA
"vs3v1","vs3v1",2.91156562945251,1.49281246155746,5.67868679617324
"vs3v2","vs3v2",1.3699885111567,0.820456712542983,2.287589938638
"vs3v3","vs3v3",0.921797193200254,0.589024151277207,1.4425725389178
