"","names","HR","LCL","UCL"
"SexM","SexM",0.976739929812447,0.759744729010793,1.25571241768559
"simd2020_sc_quintile2","simd2020_sc_quintile2",0.932143040594434,0.658733495146401,1.31903213443781
"simd2020_sc_quintile3","simd2020_sc_quintile3",0.787598026595377,0.535171372872622,1.15908787902333
"simd2020_sc_quintile4","simd2020_sc_quintile4",0.65939815241181,0.438911243176821,0.990646583252235
"simd2020_sc_quintile5","simd2020_sc_quintile5",0.772479949015397,0.522129320080649,1.14286872749965
"n_risk_gps1","n_risk_gps1",2.14350947946808,1.565657147228,2.9346354000327
"n_risk_gps2","n_risk_gps2",3.4505396060068,2.32733249448637,5.11582406073406
"n_risk_gps3","n_risk_gps3",8.62885572495871,5.46481298629833,13.6248305859387
"n_risk_gps4","n_risk_gps4",8.52990006083192,4.23889547505212,17.1646589249492
"n_risk_gps5+","n_risk_gps5+",15.9879916241626,7.94159270206374,32.1869788295576
"variantBA.2","variantBA.2",0.354483938576739,0.103657721863831,1.21224796811518
"variantdelta","variantdelta",NA,NA,NA
"variantother","variantother",NA,NA,NA
"variantB.1.1.529:vs3v1","variantB.1.1.529:vs3v1",2.69995459726425,1.2889160954367,5.65572487852167
"variantBA.2:vs3v1","variantBA.2:vs3v1",4.46705103177522,0.900443906743605,22.1607862200415
"variantdelta:vs3v1","variantdelta:vs3v1",NA,NA,NA
"variantother:vs3v1","variantother:vs3v1",NA,NA,NA
"variantB.1.1.529:vs3v2","variantB.1.1.529:vs3v2",1.12272529843433,0.636311409718674,1.98096730074626
"variantBA.2:vs3v2","variantBA.2:vs3v2",3.0419222141493,0.84779987201917,10.9144752934402
"variantdelta:vs3v2","variantdelta:vs3v2",NA,NA,NA
"variantother:vs3v2","variantother:vs3v2",NA,NA,NA
"variantB.1.1.529:vs3v3","variantB.1.1.529:vs3v3",0.755275672711906,0.46493079517984,1.2269381759704
"variantBA.2:vs3v3","variantBA.2:vs3v3",2.02099416119245,0.627388119633109,6.51019244987059
"variantdelta:vs3v3","variantdelta:vs3v3",NA,NA,NA
"variantother:vs3v3","variantother:vs3v3",NA,NA,NA
