"Characteristic","Levels","Total"
"Sex","","274,440 (54.6%)"
"","M","227,866 (45.4%)"
"ageYear","mean.sd","41.2 (15.8)"
"","median.iqr","38.5 (23.6172127584112)"
"age_grp","18-64","460,501 (91.7%)"
"","65-79","31,427 (6.3%)"
"","80+","10,378 (2.1%)"
"vs","uv","64,844 (12.9%)"
"","v1_0:27","1,320 (0.3%)"
"","v1_28+","15,034 (3.0%)"
"","v2_0:27","1,581 (0.3%)"
"","v2_28+","172,183 (34.3%)"
"","v3_0:27","65,454 (13.0%)"
"","v3_28+","181,890 (36.2%)"
"vs_type","AZ_v1_0:27","23 (0.0%)"
"","AZ_v1_28+","3,437 (0.7%)"
"","AZ_v2_0:27","251 (0.0%)"
"","AZ_v2_28+","67,762 (13.5%)"
"","AZ_v3_0:27","168 (0.0%)"
"","AZ_v3_28+","741 (0.1%)"
"","Mo_v1_0:27","365 (0.1%)"
"","Mo_v1_28+","2,255 (0.4%)"
"","Mo_v2_0:27","251 (0.0%)"
"","Mo_v2_28+","15,471 (3.1%)"
"","Mo_v3_0:27","20,962 (4.2%)"
"","Mo_v3_28+","41,256 (8.2%)"
"","PB_v1_0:27","932 (0.2%)"
"","PB_v1_28+","9,342 (1.9%)"
"","PB_v2_0:27","1,079 (0.2%)"
"","PB_v2_28+","88,950 (17.7%)"
"","PB_v3_0:27","44,324 (8.8%)"
"","PB_v3_28+","139,893 (27.9%)"
"","uv","64,844 (12.9%)"
"in_hosp_at_test","0","497,915 (99.1%)"
"","1","4,391 (0.9%)"
"lab","lh","471,163 (93.8%)"
"","nhs","31,143 (6.2%)"
"hosp_covid","0","489,475 (97.4%)"
"","1","12,831 (2.6%)"
"hosp_covid_emerg","0","490,858 (97.7%)"
"","1","11,448 (2.3%)"
"death_covid","0","501,195 (99.8%)"
"","1","1,111 (0.2%)"
"death","0","501,052 (99.8%)"
"","1","1,254 (0.2%)"
"simd2020_sc_quintile","1","105,838 (21.1%)"
"","2","103,785 (20.7%)"
"","3","93,768 (18.7%)"
"","4","97,668 (19.4%)"
"","5","97,757 (19.5%)"
"",NA,"3,490 (0.7%)"
"ur6_2016_name","1 Large Urban Areas","175,416 (34.9%)"
"","2 Other Urban Areas","197,792 (39.4%)"
"","3 Accessible Small Towns","44,663 (8.9%)"
"","4 Remote Small Towns","19,706 (3.9%)"
"","5 Accessible Rural","42,873 (8.5%)"
"","6 Remote Rural","18,366 (3.7%)"
"","Unknown","3,490 (0.7%)"
"n_risk_gps","0","318,495 (63.4%)"
"","1","131,471 (26.2%)"
"","2","35,192 (7.0%)"
"","3","10,505 (2.1%)"
"","4","3,947 (0.8%)"
"","5+","2,696 (0.5%)"
"n_tests","0","502,306 (100.0%)"
"ave_hh_age","mean.sd","37.9 (16.1)"
"","median.iqr","34.4772727272727 (21.3260148758747)"
"n_hh_gp","1","120,361 (24.0%)"
"","2","127,061 (25.3%)"
"","3-5","233,408 (46.5%)"
"","6-10","17,860 (3.6%)"
"","11-30","1,458 (0.3%)"
"","31-100","1,770 (0.4%)"
"","101+","388 (0.1%)"
"bmi_cat","Underweight","4,978 (1.0%)"
"","Normal weight","64,000 (12.7%)"
"","Overweight","353,052 (70.3%)"
"","Obese","80,276 (16.0%)"
"Q_DIAG_AF","0","496,258 (98.8%)"
"","1","6,048 (1.2%)"
"Q_DIAG_ASTHMA","0","426,627 (84.9%)"
