"variable","OR","95% CI"
"(Intercept)",0.012,"(0.005-0.026)"
"vacc_status_2v1",1.04,"(0.965-1.121)"
"vacc_status_2v2_0:13",0.622,"(0.486-0.797)"
"vacc_status_2v2_14+",1.204,"(1.151-1.261)"
"vacc_status_2v3_0:13",0.867,"(0.809-0.928)"
"vacc_status_2v3_14+",0.648,"(0.62-0.677)"
"subject_sexMale",1.036,"(1.009-1.063)"
"simd2020_sc_quintile2",0.969,"(0.931-1.009)"
"simd2020_sc_quintile3",0.864,"(0.829-0.901)"
"simd2020_sc_quintile4",0.848,"(0.814-0.883)"
"simd2020_sc_quintile5",0.857,"(0.822-0.893)"
"n_risk_gps1",0.984,"(0.955-1.014)"
"n_risk_gps2",0.915,"(0.867-0.965)"
"n_risk_gps3",0.924,"(0.834-1.023)"
"n_risk_gps4",0.767,"(0.632-0.931)"
"n_risk_gps5+",0.73,"(0.552-0.966)"
"s(days).1",310382.003,"(330.986-291060192.627)"
"s(days).2",0,"(0-0)"
"s(days).3",1.413,"(0.442-4.515)"
"s(days).4",90340610974.827,"(9262389.174-881136155880919)"
"s(days).5",2.838,"(2.043-3.941)"
"s(days).6",0,"(0-0)"
"s(days).7",14.117,"(5.361-37.177)"
"s(days).8",23093088136549562237196645171200,"(458267428264031485952-1163710721712453663443012148014526228332544)"
"s(days).9",26100972735.667,"(158992.007-4284874392820564)"
"s(age).1",0.393,"(0.265-0.583)"
"s(age).2",0.486,"(0.125-1.886)"
"s(age).3",1.646,"(1.289-2.102)"
"s(age).4",0.52,"(0.231-1.172)"
"s(age).5",0.585,"(0.397-0.862)"
"s(age).6",0.644,"(0.338-1.228)"
"s(age).7",0.515,"(0.309-0.859)"
"s(age).8",2.5,"(0.121-51.741)"
"s(age).9",1.503,"(0.691-3.268)"
