"Dependent: outcome"," ","BA.2","negative","p"
"age","Mean (SD)","40.4 (14.9)","43.2 (16.6)","<0.001"
"subject_sex","Female","12594 (56.2)","119210 (57.4)","<0.001"
"","Male","9828 (43.8)","88304 (42.6)",""
"simd2020_sc_quintile","1","4606 (22.1)","35418 (18.5)","<0.001"
"","2","4241 (20.3)","36840 (19.3)",""
"","3","3749 (18.0)","37030 (19.4)",""
"","4","4057 (19.5)","40686 (21.3)",""
"","5","4188 (20.1)","41155 (21.5)",""
"vacc_status","uv","3128 (14.0)","24028 (11.6)","<0.001"
"","v1_0:27","44 (0.2)","949 (0.5)",""
"","v1_28+","892 (4.0)","8087 (3.9)",""
"","v2_0:6","13 (0.1)","424 (0.2)",""
"","v2_105+","3409 (15.2)","55032 (26.6)",""
"","v2_14:20","12 (0.1)","597 (0.3)",""
"","v2_21:27","16 (0.1)","579 (0.3)",""
"","v2_28:34","24 (0.1)","618 (0.3)",""
"","v2_35:41","28 (0.1)","588 (0.3)",""
"","v2_42:48","38 (0.2)","673 (0.3)",""
"","v2_49:55","41 (0.2)","739 (0.4)",""
"","v2_56:62","70 (0.3)","935 (0.5)",""
"","v2_63:69","60 (0.3)","1173 (0.6)",""
"","v2_7:13","13 (0.1)","492 (0.2)",""
"","v2_70:76","84 (0.4)","1421 (0.7)",""
"","v2_77:83","83 (0.4)","1716 (0.8)",""
"","v2_84:90","57 (0.3)","2087 (1.0)",""
"","v2_91:97","55 (0.2)","2445 (1.2)",""
"","v2_98:104","55 (0.2)","2878 (1.4)",""
"","v3_0:6","143 (0.6)","6933 (3.3)",""
"","v3_105+","3633 (16.2)","8288 (4.0)",""
"","v3_14:20","83 (0.4)","9015 (4.4)",""
"","v3_21:27","123 (0.5)","8143 (3.9)",""
"","v3_28:34","231 (1.0)","7945 (3.8)",""
"","v3_35:41","316 (1.4)","7420 (3.6)",""
"","v3_42:48","504 (2.2)","7247 (3.5)",""
"","v3_49:55","843 (3.8)","6808 (3.3)",""
"","v3_56:62","1098 (4.9)","6046 (2.9)",""
"","v3_63:69","1323 (5.9)","5578 (2.7)",""
"","v3_7:13","106 (0.5)","8532 (4.1)",""
"","v3_70:76","1571 (7.0)","5249 (2.5)",""
"","v3_77:83","1482 (6.6)","4728 (2.3)",""
"","v3_84:90","1145 (5.1)","4291 (2.1)",""
"","v3_91:97","874 (3.9)","3200 (1.5)",""
"","v3_98:104","823 (3.7)","2300 (1.1)",""
"vacc_status_2","uv","3128 (14.0)","24028 (11.6)","<0.001"
"","v1","937 (4.2)","9052 (4.4)",""
"","v2_0:13","26 (0.1)","916 (0.4)",""
"","v2_14+","4032 (18.0)","71481 (34.5)",""
"","v3_0:13","249 (1.1)","15465 (7.5)",""
"","v3_14+","14049 (62.7)","86258 (41.6)",""
"EAVE_Smoke","Non Smoker","9985 (47.6)","92217 (47.9)","<0.001"
"","Ex Smoker","2535 (12.1)","25075 (13.0)",""
"","Smoker","4577 (21.8)","41392 (21.5)",""
"","Unknown","3885 (18.5)","33697 (17.5)",""
"EAVE_BP","No Investigation","5216 (24.9)","45677 (23.7)","<0.001"
"","Low","400 (1.9)","3405 (1.8)",""
"","Normal","13432 (64.0)","123041 (64.0)",""
"","High","1633 (7.8)","17058 (8.9)",""
"","Very High","301 (1.4)","3200 (1.7)",""
"Q_DIAG_AF","0","20829 (99.3)","190031 (98.8)","<0.001"
"","1","153 (0.7)","2350 (1.2)",""
"Q_DIAG_ASTHMA","0","17781 (84.7)","161866 (84.1)","0.023"
"","1","3201 (15.3)","30515 (15.9)",""
"Q_DIAG_BLOOD_CANCER","0","20923 (99.7)","191606 (99.6)","0.009"
"","1","59 (0.3)","775 (0.4)",""
"Q_DIAG_CCF","0","20924 (99.7)","191391 (99.5)","<0.001"
"","1","58 (0.3)","990 (0.5)",""
"Q_DIAG_CEREBRALPALSY","0","20962 (99.9)","192150 (99.9)","0.375"
"","1","20 (0.1)","231 (0.1)",""
"Q_DIAG_CHD","0","20666 (98.5)","187389 (97.4)","<0.001"
"","1","316 (1.5)","4992 (2.6)",""
"Q_DIAG_CIRRHOSIS","0","20913 (99.7)","191588 (99.6)","0.080"
"","1","69 (0.3)","793 (0.4)",""
"Q_DIAG_CONGEN_HD","0","20843 (99.3)","190809 (99.2)","0.019"
"","1","139 (0.7)","1572 (0.8)",""
"Q_DIAG_COPD","0","20751 (98.9)","188655 (98.1)","<0.001"
"","1","231 (1.1)","3726 (1.9)",""
"Q_DIAG_DEMENTIA","0","20978 (100.0)","192094 (99.9)","<0.001"
"","1","4 (0.0)","287 (0.1)",""
"Q_DIAG_DIABETES_1","0","20883 (99.5)","191249 (99.4)","0.039"
"","1","99 (0.5)","1132 (0.6)",""
"Q_DIAG_DIABETES_2","0","20370 (97.1)","185093 (96.2)","<0.001"
"","1","612 (2.9)","7288 (3.8)",""
"Q_DIAG_EPILEPSY","0","20741 (98.9)","189944 (98.7)","0.154"
"","1","241 (1.1)","2437 (1.3)",""
"Q_DIAG_FRACTURE","0","20202 (96.3)","185162 (96.2)","0.815"
"","1","780 (3.7)","7219 (3.8)",""
"Q_DIAG_NEURO","0","20895 (99.6)","191712 (99.7)","0.137"
"","1","87 (0.4)","669 (0.3)",""
"Q_DIAG_PARKINSONS","0","20971 (99.9)","192233 (99.9)","0.270"
"","1","11 (0.1)","148 (0.1)",""
"Q_DIAG_PULM_HYPER","0","20974 (100.0)","192157 (99.9)","0.002"
"","1","8 (0.0)","224 (0.1)",""
"Q_DIAG_PULM_RARE","0","20932 (99.8)","191624 (99.6)","0.001"
"","1","50 (0.2)","757 (0.4)",""
"Q_DIAG_PVD","0","20929 (99.7)","191452 (99.5)","<0.001"
"","1","53 (0.3)","929 (0.5)",""
"Q_DIAG_RA_SLE","0","20841 (99.3)","190556 (99.1)","<0.001"
"","1","141 (0.7)","1825 (0.9)",""
"Q_DIAG_RESP_CANCER","0","20975 (100.0)","192102 (99.9)","<0.001"
"","1","7 (0.0)","279 (0.1)",""
"Q_DIAG_SEV_MENT_ILL","0","18548 (88.4)","167952 (87.3)","<0.001"
"","1","2434 (11.6)","24429 (12.7)",""
"Q_DIAG_SICKLE_CELL","0","20964 (99.9)","192244 (99.9)","0.542"
