"Var1","Var2","Freq"
"B.1.1.529","uv",5428
"BA.2","uv",3128
"delta","uv",1873
"negative","uv",24028
"not_sequenced","uv",50162
"other","uv",722
"B.1.1.529","v1",1781
"BA.2","v1",937
"delta","v1",633
"negative","v1",9052
"not_sequenced","v1",17427
"other","v1",264
"B.1.1.529","v2_0:13",96
"BA.2","v2_0:13",26
"delta","v2_0:13",39
"negative","v2_0:13",916
"not_sequenced","v2_0:13",1115
"other","v2_0:13",14
"B.1.1.529","v2_14+",10061
"BA.2","v2_14+",4032
"delta","v2_14+",5630
"negative","v2_14+",71481
"not_sequenced","v2_14+",119408
"other","v2_14+",2442
"B.1.1.529","v3_0:13",1633
"BA.2","v3_0:13",249
"delta","v3_0:13",517
"negative","v3_0:13",15465
"not_sequenced","v3_0:13",25503
"other","v3_0:13",280
"B.1.1.529","v3_14+",18886
"BA.2","v3_14+",14049
"delta","v3_14+",309
"negative","v3_14+",86258
"not_sequenced","v3_14+",117650
"other","v3_14+",170
